key,en,ja
Kassan,Kassan,かっさん
System,System,SYSTEM
null,null,null
Sera,Sera,セラ
Haruka Nana,Haruka Nana,春歌ナナ
t3b355aa01b,Hello! I am Kassan!,おっす！わたしはかっさんだ！
t41cc240d99,Is that a letter for me?,それは私に…手紙ですか…？
t6d499d67b2,Yes,はい！
t2289c3746a,You give Kassan the letter.,かっさんに手紙を渡す。
t97fe594009,Thank y[wait=1.5][color=green][shake rate=20.0 level=5 connected=1]STACK OVERFLOW ERROR[/shake][/color],ありがっ[wait=1.5][color=green][shake rate=20.0 level=5 connected=1]スタックオーバーフローエラー[/shake][/color]
ta028ca5bef,[shake rate=20.0 level=5 connected=1]bug detected; [color=red]killing child[/color][/shake],[shake rate=20.0 level=5 connected=1]バグ発見しました; [color=red]消去ファイル[/color][/shake]
t4af09b8595,No,いいえ
t5504685dd6,I see. Must be for someone else then!,なるほど。じゃあ、誰かのためにあるに違いない！
tee4e9badb9,[shake rate=20.0 level=5 connected=1][color=green]TERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATEXTERMINATE[/color][/shake],[shake rate=20.0 level=5 connected=1][color=green]センメツクジョセンメツクジョセンメツクジョセンメツクジョセンメツクジョセンメツクジョセンメツクジョセンメツクジョセンメツクジョ[/color][/shake]
t2ec0c34fa7,[color=#ff00ff]RETURN[/color],[color=#ff00ff]モドル[/color]
t9b773985dd,Is that a... Wait a second.[wait=0.5] Haven't we[wait=0.3] already met before?,それは... ちょっと待って。[wait=0.5] 前に[wait=0.3]会ったことあるよね？
ta8eabe31ef,"ModuleNotFoundError@builtin.d(0)
----------------
??:? _d_assertp [0x5630b7fb8fac]
??:? _Dmain [0x5630b7fb0ff0]",
t8cf79b7d78,"Help, I'm locked in!",たすけてー！閉じ込められているんだ！
t32195f00bc,"There must be some way to open this door, can you help me get out?",このドアを開ける方法があるはずだ、 外に出るのを手伝ってくれる？
t84e3f43fd3,Try pressing the buttons in the order how they light up.,点灯順にボタンを押してみてください。
t2240fd94e6,Thank you for resucing me! I found the bug causing this whole mess in my cell!,助けてくれてありがとうございます！この混乱の原因となっているエラーは、私のセルの中にありました！
tfdef35a83c,Let me just fix it really quick...,手っ取り早く直させてもらうと...。
t06f5bc5162,Hi... I am Sera.,こんにちは…セラです。
t14f9616e95,"Bugs have appeared everywhere, we need to get rid of them quickly before they break this world entirely!",情報エラーがあちこちに出現している、 この世界を完全に壊してしまう前に、早く取り除く必要がある。
ta30cad91d3,Stamp on the [color=green]bug nests[/color] to squash them,[color=green]虫の巣[/color]を踏みつぶす
t50661bd7e7,[b]Kassan[/b] might know how to restore the world...,[b]かっさん[/b]は世界を回復させる方法を知っているかもしれないが...。
t2926822867,I like Warabimochi,わらびもち好きです
tec9c3230a7,"I am Nanahira! ... no wait, I am Haruka Nana!",ななひらです！…いや、じゃなくて、春歌ナナです！
t4259018832,I don't understand what's happening...,この状況わかんねーよ…
tb65e57a28e,Everyone is suddenly gone as well...,みんなも突然いなくなってしまった...
t9859ec2567,...,…
td31bb673de,"I was suddenly holding this button - I don't want to press it, you can have it!",私は突然このボタンをもっていました - 押したくないから、あげる!
t5feedb4ea2,Press the Button,ボタンを押す
tcf4349133d,"Eeek, more bugs!",うわー、虫が増えた！
td6dd0b507e,Hello! I am Kassan!,や！かっさんだ！
t4cadd6f820,Is that a letter for me?,それは私への手紙ですか？
t0f8f9135d7,Yes,はい
t10332f168d,... this time we are safe,...今回はセーフです
t8679c3319b,You give Kassan the letter.,かっさんに手紙を渡した
tf00a709d38,"Thanks for the letter and all your help! Also I have this letter here I would like you to bring to Fullflavor Girl on Camellia Island, could you deliver it for me?",お手紙とご協力に感謝します! それと、かめりあアイランドのフルフレーバー少女のところに持ってきてほしい手紙があるのですが、届けてもらえますか？
t70d18cc3b3,Sure,わかった
tc6f1f4182f,No,いや
t47aaa0ce7f,I see. Must be for someone else then!,なるほど。じゃあ、誰かのためにあるに違いない！
tf49fa2a489,Have you delivered the letter yet?,もう手紙を届けましたか？
t3e0a9d9686,Thank you for helping Kassan and us out there!,かっさんと私たちを助けてくれてありがとう！
t554c55afcf,Thank you for helping us out there with all these bugs!,虫問題を解決するために私たちを助けてくれてありがとう!